Installation,Prioritization,Category,Common Name,Scientific Name,Status,Onsite/ Contiguous (Adjacent),Dispersal mode,Disperal range (max) km,Dispersal range (average) km,Primary habitat (NLCD cat),Secondary habitat (NLCD cat),Microhabitat,NWI category,Critical Habitat (y/n),Residency,# extant pops (# occurrences),# pops good viability,Resident status,Recovery Plan (y/n),"RP calls for new pops (translocation, reintroduction etc) (y/n)","HCP, CCA, CCAA, CP (#)",Comments
FORT HOOD,1,Bird,"Crane, Whooping (Entire, except where listed as experimental populations)",Grus americana,ENDANGERED,ONSITE,Flight,4400,19,Emergent Herbaceous Wetlands,Hay/pasture,Nests in emergent vegetation of shallow marshes. During migration prefers wetlands but uses stubble fields: relatively non-specific,,Y,Uncommon Visitor (usually winter - occassionally migration),3,1,Uncommon Visitor (usually winter - occassionally migration),Y,Y,2,"Uncommonly seen on Fort Hood. When they are, training immediately stops. No roosting or breeding."
WHITE SANDS MISSILE RANGE,1,Bird,"Cuckoo, Yellow-billed Western Population Segment",Coccyzus americanus,THREATENED,ONSITE,Flight,unknown,unknown,Deciduous Forest,Scrub/shrub (riparian),"Dense, native shrubs (primarily willow and cottonwood) in riparian areas. Needs riparian areas with shrub and tree layer - adaptable after that",,Y,Breeding migrant,9,Unknown,Breeding migrant,N,N/A,11,No critical habitat delineated on White Sands
FORT BLISS,1,Bird,"Falcon, Northern Aplomado (Entire, except where listed as Experimental Population)",Falco femoralis septentrionalis,ENDANGERED,ONSITE,Flight,unknown,unknown,Grassland/herbaceous,Barren Land,Variable - needs open terrain with scattered trees and low ground cover,,N,Uncommon Visitor,2,0,Resident,Y,Y,3,No critical habitat on Fort Bliss. Military assisting with reintroduction on White Sands and near Bliss
FORT HUACHUCA,1,Bird,"Falcon, Northern Aplomado (Entire, except where listed as Experimental Population)",Falco femoralis septentrionalis,ENDANGERED,CONTIGUOUS,Flight,unknown,unknown,Grassland/herbaceous,Barren Land,Variable - needs open terrain with scattered trees and low ground cover,,N,Uncommon Visitor,2,0,Resident,Y,Y,3,No critical habitat. Occasionally seen on base
WHITE SANDS MISSILE RANGE,1,Bird,"Falcon, Northern Aplomado (Southwestern population, NM)",Falco femoralis septentrionalis,"EXPN, NON-ESSENTIAL",ONSITE,Flight,unknown,unknown,Grassland/herbaceous,Barren Land,Variable - needs open terrain with scattered trees and low ground cover,,N,Reintroduced,2,0,Reintroduced - Resident,Y,Y,3,No critical habitat. Assisting with reintroduction efforts as part of safe harbor agreements.
WHITE SANDS MISSILE RANGE,1,Bird,"Flycatcher, Southwestern Willow",Empidonax traillii extimus,ENDANGERED,ONSITE,Flight,220,16,Woody Wetlands,Scrub/shrub (riparian),"Dense, native shrubs (primarily willow and cottonwood) in riparian areas. Needs riparian areas with shrub and tree layer - adaptable after that","PSS,PFO",Y,Breeding migrant,109,10,Breeding migrant,Y,N,35,
FORT HUACHUCA,1,Bird,"Flycatcher, Southwestern Willow",Empidonax traillii extimus,ENDANGERED,CONTIGUOUS,Flight,220,16,Woody Wetlands,Scrub/shrub (riparian),"Dense, native shrubs (primarily willow and cottonwood) in riparian areas. Needs riparian areas with shrub and tree layer - adaptable after that","PSS,PFO",Y,Breeding migrant,109,10,Breeding migrant,Y,N,35,
JOINT BASE LEWIS-MCCHORD,1,Bird,"Horned Lark, Streaked)",Eremophila alpestris strigata,THREATENED,ONSITE,Flight,1000,unknown,Grassland/herbaceous,Barren Land,avoid sod forming grasses. High percent of bare ground necessary.,,Y,Breeding migrant,21,2,Breeding migrant,N,N/A,1,Range-wide status assessment document identifies development of metapopulation model as critical to development of recovery goals! Also suggest reintroductions
CAMP NAVAJO,1,Bird,"Owl, Mexican Spotted",Strix occidentalis lucida,THREATENED,ONSITE,Flight,100,22,Evergreen Forest,Mixed forest,"Prefer, old and complex closed canopy forests with large conifers",,Y,Breeding resident,150,unknown,Breeding resident,Y,N,2,
FORT HUACHUCA,1,Bird,"Owl, Mexican Spotted",Strix occidentalis lucida,THREATENED,ONSITE,Flight,100,22,Evergreen Forest,Mixed forest,"Prefer, old and complex closed canopy forests with large conifers",,Y,Breeding resident,150,unknown,Breeding resident,Y,N,2,
FORT CARSON,1,Bird,"Owl, Mexican Spotted",Strix occidentalis lucida,THREATENED,CONTIGUOUS,Flight,100,22,Evergreen Forest,Mixed forest,"Prefer, old and complex closed canopy forests with large conifers",,Y,Breeding resident,150,unknown,Breeding resident,Y,N,2,
JOINT BASE LEWIS-MCCHORD,1,Bird,"Owl, Northern Spotted",Strix occidentalis caurina,THREATENED,CONTIGUOUS,Flight,150,23,Evergreen Forest,Mixed forest,"Prefer, old and multi-layered closed canopy forests with large conifers",,Y,Resident,200,14,Resident,Y,N,28,Recovery calls for habitat modeling tool. Mangement of Barred Owls
FORT RILEY,1,Bird,"Plover, Piping (All areas except Great Lakes watershed of IL, IN, MI, MN, NY, OH, PA, and WI)",Charadrius melodus,THREATENED,ONSITE,Flight,2000,1,Barren Land (Rock/Clay/Sand),,"Nest on sandbars of rivers, reservoirs, and alkaline lakes","R2US1,R2US2,R3US1,R3US2,L2US2",Y,Breeding migrant,300,4,Breeding migrant,Y,N,5,
DUGWAY PROVING GROUND,1,Bird,"Plover, Western Snowy",Charadrius alexandrinus nivosus,THREATENED,ONSITE,Flight,2000,15,Barren Land (Rock/Clay/Sand),,Shorelines of salt lakes where vegetation is absent or sparse,"L2US21,L2US2",N,Breeding migrant,>300,Unknown,Breeding migrant,Y (N for this subspecies),N,11,The Western Snowy Plover is two separate managed population units. The Pacific Coast population (within 50 miles of coast) is Threatened. The inland version is not. That is the one that occurs on Dugway
MTC CAMP BLANDING,1,Bird,"Scrub-jay, Florida",Aphelocoma coerulescens,THREATENED,ONSITE,Flight,11,1.5,Shrub/Scrub,,"Oak scrub on white, drained sand, in open areas without a dense canopy. Palmetto, sand pine and rosemary may co-occur. Includes scrub with no canopy, sandpine scrub, scrubby flatwoods, and coastal scrub. Fire-suppressed scrubs with dense, tall understories or encroaching pine canopies provide poor habitat. Rarely in areas with greater than 50% canopy cover that is taller than 3 m.",,N,Resident,300,3,Resident,Y,N,139,
FORT BENNING,1,Bird,"Stork, Wood",Mycteria americana,ENDANGERED,ONSITE,Flight,1000,unknown,Emergent Herbaceous Wetlands,Woody Wetlands,Water impoundments with seasonal fluctuations to concentrate prey fish,,N,Resident,33,1,Resident,Y,N,0,Species is Threatened not Endangered- 1 highly mobile population
FORT STEWART,1,Bird,"Stork, Wood",Mycteria americana,ENDANGERED,ONSITE,Flight,1000,unknown,Emergent Herbaceous Wetlands,Woody Wetlands,Water impoundments with seasonal fluctuations to concentrate prey fish,,N,Resident,33,1,Resident,Y,N,0,Species is Threatened not Endangered- 1 highly mobile population
MTC CAMP BLANDING,1,Bird,"Stork, Wood",Mycteria americana,ENDANGERED,ONSITE,Flight,1000,unknown,Emergent Herbaceous Wetlands,Woody Wetlands,Water impoundments with seasonal fluctuations to concentrate prey fish,,N,Resident,33,1,Resident,Y,N,0,Species is Threatened not Endangered- 1 highly mobile population
FORT RILEY,1,Bird,"Tern, Least",Sterna antillarum,ENDANGERED,ONSITE,Flight,1500,26,Barren Land (Rock/Clay/Sand),,River sandbars,"R2US1,R2US2,R3US1,R3US2",N,Migrant,489,6,Breeding migrant,Y,N,1,
WHITE SANDS MISSILE RANGE,1,Bird,"Tern, Least",Sterna antillarum,ENDANGERED,ONSITE,Flight,1500,26,Barren Land (Rock/Clay/Sand),,River sandbars,"R2US1,R2US2,R3US1,R3US2",N,Migrant,489,6,Breeding migrant,Y,N,1,
CAMP BOWIE (State),1,Bird,"Vireo, Black-capped",Vireo atricapilla,ENDANGERED,ONSITE,flight,74,3.6,Shrub/scrub,,"dense low thickets and oak scrub, mostly on rocky hillsides: relatively variable with low specificity across range",,N,Breeding Resident,56,5,Breeding Resident,Y (but is out of date),N,14,Dispersal distances from Walker 2015 Dissertation 
FORT HOOD,1,Bird,"Vireo, Black-capped",Vireo atricapilla,ENDANGERED,ONSITE,flight,74,3.6,Shrub/scrub,,"dense low thickets and oak scrub, mostly on rocky hillsides: relatively variable with low specificity across range",,N,Breeding Resident,56,5,Breeding Resident,Y (but is out of date),N,14,Dispersal distances from Walker 2015 Dissertation 
FORT SILL,1,Bird,"Vireo, Black-capped",Vireo atricapilla,ENDANGERED,ONSITE,flight,74,3.6,Shrub/scrub,,"dense low thickets and oak scrub, mostly on rocky hillsides: relatively variable with low specificity across range",,N,Breeding Resident,56,5,Breeding Resident,Y (but is out of date),N,14,Dispersal distances from Walker 2015 Dissertation 
FORT HUNTER LIGGETT,1,Bird,"Vireo, Least Bell's",Vireo bellii pusillus,ENDANGERED,CONTIGUOUS,Flight,1700,20,Deciduous forest ,Scrub/shrub (riparian),"dense, riparian habitat",PFO,Y,Breeding Migrant,80,8,Breeding migrant,Y,N,20,
FORT HOOD,1,Bird,"Warbler (=wood), Golden-cheeked",Dendroica chrysoparia,ENDANGERED,ONSITE,Flight,3.5,0.2,Deciduous forest,Mixed forest,"Typical GCWA nesting habitat is found in tall, closed canopy, dense, mature stands of Ashe juniper mixed with trees such as Texas oak, shin oak, live oak, Lacey oak (Q. laceyi), post oak (Q. stellata), Texas ash (Fraxinus texana), cedar elm, hackberry (Celtis reticulata), bigtooth maple (Acer grandidentatum), sycamore (Platanus occidentalis), little walnut (Juglans microcarpa), and escarpment cherry (Prunus serotina) (Oberholser 1974, p. 751; Kroll 1974, pp. 20, 34; Pulich 1974, pp. 65-66, Campbell 2003, p. 1). This type of woodland generally grows in relatively moist areas such as steep-sided canyons, slopes, and adjacent uplands",,N,Breeding migrant,40,9,Breeding Migrant,Y,N,163,
MTC-H CAMP GRAYLING,1,Bird,"Warbler, Kirtland's",Setophage kirlandii (=Dendroica kirtlandii),ENDANGERED,ONSITE,Flight,3000,unknown,Evergreen Forest,,"Nesting habitat consists of nearly homogeneous fire-generated stands of usually 30 hectares or more of dense scrubby jack pine, 1.3-6 meters high (6-22 years old) (also reported as 2-4 meters tall and 8-20 years old) interspersed with many small openings, minimal ground cover, and little or no hardwoods",,N,Breeding migrant,25,4,Breeding Migrant,N,N/A,0,
FORT BENNING,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT BRAGG,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT GORDON,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT JACKSON,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT POLK,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT STEWART,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
MTC CAMP BLANDING,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,ONSITE,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
MTA CAMP SHELBY,1,Bird,"Woodpecker, Red-cockaded",Picoides borealis,ENDANGERED,CONTIGUOUS,Flight,100,5,Evergreen Forest,,"Habitat consists of open, mature pine woodlands, rarely deciduous or mixed pine-hardwoods located near pine woodlands (Steirly 1957, Hooper et al. 1980, U.S. Fish and Wildlife Service 1980, Kalisz and Boettcher 1991). Optimal habitat is characterized as a broad savanna with a scattered overstory of large pines and a dense groundcover containing a diversity of grass, forb, and shrub species (Hooper et al. 1980, AOU 1991). Midstory vegetation is sparse or absent (Hooper et al. 1980, Locke et al. 1983, Hooper et al. 1991, Loeb et al. 1993).",,N,Breeding resident,130,6,Breeding resident,Y,N (but see notes),34,"The recovery plan does not specifically site translocation as a strategy, however it has been used frequently and successfully for this species to establish or augment new breeding colonies"
FORT RUCKER,1,Mussel,"Bean, Choctaw",Villosa choctawensis,ENDANGERED,ONSITE,animals; water,10,2,Open Water,,"river bottoms, silty clay or sand",R2UB2,y,resident,17,0,resident,n,na,0,
CAMP ATTERBURY,1,Mussel,"Bean, Rayed",Villosa fabalis,ENDANGERED,ONSITE,animals; water,10,2,Open Water,,"river or lake bottoms, riffle","PSS6,R4SB2",n,resident,32,12,resident,n,na,0,
CAMP ATTERBURY,1,Mussel,"Mussel, Snuffbox",Epioblasma triquetra,ENDANGERED,ONSITE,animals; water,10,2,Open Water,,"river bottoms, sometimes lake shore","L2US2,R2UB1",n,resident,45,5,resident,n,na,0,
FORT RUCKER,1,Mussel,"Pigtoe, Fuzzy",Pleurobema strodeanum,THREATENED,ONSITE,animals; water,10,2,Open Water,,"river bottoms, riffle",R2UB2,y,resident,54,,resident,n,na,0,
FORT LEONARD WOOD,1,Mussel,Spectaclecase (mussel),Cumberlandia monodonta,ENDANGERED,ONSITE,animals; water,10,2,Open Water,,"large river bottoms, riffle",R2UB1,n,resident,20,14,resident,n,na,0,
FORT HUNTER LIGGETT,1,Crustacean,"Fairy shrimp, Vernal Pool",Branchinecta lynchi,THREATENED,ONSITE,water,1,1,Emergent Herbaceous Wetlands,,vernal pools in dry areas,PEM2C,y,resident,see note,see note,resident,y,n,11,"exists in 28 counties, but number of occurrences is difficult to estimate"
MTC-H CAMP ROBERTS,1,Crustacean,"Fairy shrimp, Vernal Pool",Branchinecta lynchi,THREATENED,ONSITE,water,1,1,Emergent Herbaceous Wetlands,,vernal pools in dry areas,PEM2C,y,resident,see note,see note,resident,y,n,11,"exists in 28 counties, but number of occurrences is difficult to estimate"
FORT HUACHUCA,1,Fish,Gila Chub,Gila intermedia,ENDANGERED,CONTIGUOUS,water,15,15,Emergent Herbaceous Wetlands,,,"R3,P",Y,Resident,29,10,Resident,draft,Y,1,"near Huachuca only in the upper Babocomari River.  Because of the difficulty in defining suitable versus unsuitable habitat, especially with respect to dispersal, and to simplify the delineation of occurrences, a single separation distance is used regardless of habitat quality. 

Occupied locations that are separated by a gap of 15 km or more of any aquatic habitat that is not known to be occupied represent different occurrences. "
FORT HUACHUCA,1,Fish,Gila Topminnow,Poeciliopsis occidentalis occidentalis,ENDANGERED,CONTIGUOUS,water,10,10,Emergent Herbaceous Wetlands,,,P,N,Resident,14,,Resident,draft,Y,4,an additional 18 reintroduced pops exist
FORT PICKETT ARNG MTC,1,Fish,"Logperch, Roanoke",Percina rex,ENDANGERED,ONSITE,water,10,10,open water,,benthic,"R3RB2,R3UB1,R3UB2",N,Resident,8,,Resident,N,na,0,"Dispersal = EO separation distance. Range includes the upper Roanoke, upper Dan, and upper Chowan river systems (Roanoke River drainage), Virginia (USFWS 2007, Page and Burr 2011); recently found in North Carolina within a few miles of the Virginia state line. Populations are separated by wide river gaps or large impoundments (Jenkins and Burkhead 1994)."
FORT HUACHUCA,1,Fish,"Pupfish, Desert",Cyprinodon macularius,ENDANGERED,CONTIGUOUS,water,10,10,Emergent Herbaceous Wetlands,,,P,Y,Resident,11,1,Resident,Y,Y,5,"restricted to Quitobaquito springs in Arizona. Each spring system that is undivided by a barrier constitutes a single distinct occurrence. Otherwise, use a separation distance of 10 km for any type of aquatic habitat."
YAKIMA TRAINING CENTER,,Fish,"Salmon, chinook (Snake River fall-run ESU, including all naturally spawned populations of fallrun Chinook salmon in the mainstem Snake R. below Hells Canyon Dam, and in the Tucannon R., Grande Ronde R., Imnaha R., Salmon R., and Clearwater R., as well as four artificial propagation programs)",Oncorhynchus (=Salmo) tshawytscha,THREATENED,ONSITE,water,1500,1500,open water,,,"E,R",Y,migrant,1,?,migrant,N,na,0,
JOINT BASE LEWIS-MCCHORD,1,Fish,"Salmon, Chinook ¿(Puget Sound ESU, including all naturally spawned populations from rivers/streams flowing into Puget Sound including the Straits of Juan De Fuca from the Elwha R, eastward; rivers/streams flowing into Hood Canal, South & North Sound;Strait of Georgia; and 26 propagation programs)",Oncorhynchus (=Salmo) tshawytscha,THREATENED,ONSITE,water,1500,1500,open water,,,"E,R",Y,migrant,20,?,migrant,N,na,0,
FORT RILEY,1,Fish,"Shiner, Topeka",Notropis topeka (=tristis),ENDANGERED,ONSITE,water,10,10,Open Water,,,R3,Y,Resident,50,?,Resident,N,na,2,dispersal dist based on separation distance criteria
FORT HUACHUCA,1,Fish,Spikedace,Meda fulgida,ENDANGERED,CONTIGUOUS,water,10,10,open water,,,"R3UB1,R3UB2,R3SB2,R3SB3,R3SB4,PUS1,PUS2",Y,Resident,10,5,Resident,Y,Y,1,"Due to difficulties in tagging small fishes, movement patterns of spikedace adults are unquantified. Dispersal = NS EO separation distance"
YAKIMA TRAINING CENTER,,Fish,"Steelhead (Middle Columbia River) ([OR, WA] All naturally spawned populations in streams above and excluding the Wind R. in Washington, and the Hood R. in Oregon, upstream to, and including, the Yakima R. Excluded are steelhead from the Snake R. Basin)",Oncorhynchus (=Salmo) mykiss,THREATENED,CONTIGUOUS,water,1500,1500,open water,,,"E,R",N,migrant,1,1,migrant,N,na,0,may make multiple spawning migrations
MTC-H CAMP ROBERTS,1,Fish,"Steelhead (southern CA coast) (All naturally spawned populations [and their progeny] in rivers from the Santa Maria R., San Luis Obispo County, CA [inclusive] to Malibu Cr., Los Angeles County, CA [inclusive])",Oncorhynchus (=Salmo) mykiss,ENDANGERED,ONSITE,water,1500,1500,open water,,,"E,R",Y,migrant,1,1,migrant,N,na,0,may make multiple spawning migrations
YAKIMA TRAINING CENTER,,Fish,"Steelhead (Upper Columbia River Basin) (All naturally spawned populations (and their progeny) in the Upper Columbia R. Basin upstream from the Yakima R., WA, to the U.S./Canada border, and also including the Wells Hatchery stock)",Oncorhynchus (=Salmo) mykiss,THREATENED,ONSITE,water,1500,1500,open water,,,"E,R",Y,migrant,1,1,migrant,N,na,0,may make multiple spawning migrations
FORT STEWART,1,Fish,"Sturgeon, Atlantic (South Atlantic DPS)",Acipenser oxyrinchus oxyrinchus,ENDANGERED,ONSITE,water,1500,1500,open water,,,"E,R",N,"resident, migrant",19,na,"resident, migrant",N,na,0,may migrate to the fall line
FORT STEWART,1,Fish,"Sturgeon, Shortnose",Acipenser brevirostrum,ENDANGERED,ONSITE,water,1000,1000,open water,,,"E,R",N,"resident, migrant",20,na,"resident, migrant",N,na,0,may migrate to the fall line
JOINT BASE LEWIS-MCCHORD,1,Fish,"Trout, Bull (contiguous, [lower 48 states])",Salvelinus confluentus,THREATENED,ONSITE,water,na,100,open water,,,"L,R",Y,local migrant,35,na,local migrant,Y,Y,18,coastal
YAKIMA TRAINING CENTER,,Fish,"Trout, Bull (contiguous, [lower 48 states])",Salvelinus confluentus,THREATENED,CONTIGUOUS,water,na,100,open water,,,"L,R",Y,local migrant,141,na,local migrant,Y,Y,18,upper columbia
